0.116 0.041 0.021 647 51.37 49.32
0.116 0.041 0.021 672 52.74 49.80
0.116 0.041 0.020 651 51.31 50.04
0.119 0.042 0.021 699 51.78 46.32
0.116 0.041 0.021 650 51.81 51.01
0.119 0.041 0.021 689 52.96 47.33
0.119 0.041 0.021 702 52.81 47.35
0.119 0.040 0.022 739 52.74 47.87
0.118 0.041 0.021 671 54.26 47.97
0.119 0.040 0.019 715 53.36 51.53
0.114 0.042 0.022 830 51.01 49.01
0.115 0.042 0.026 835 51.38 50.09
0.114 0.042 0.025 810 50.27 48.52
0.116 0.041 0.025 786 51.55 49.19
0.115 0.041 0.027 787 51.38 49.63
0.115 0.042 0.025 823 51.79 49.54
0.115 0.041 0.026 814 52.01 50.69
0.117 0.041 0.025 806 51.78 50.27
0.116 0.041 0.023 794 51.26 49.42
0.114 0.042 0.022 870 51.30 49.52
0.113 0.040 0.030 861 51.94 50.71
0.115 0.040 0.030 846 53.32 50.15
0.112 0.041 0.029 826 53.83 50.68
0.111 0.041 0.035 830 53.39 50.37
0.112 0.042 0.030 853 53.03 50.15
0.112 0.041 0.031 854 53.00 51.19
0.111 0.039 0.031 809 52.65 50.08
0.112 0.040 0.033 844 53.81 51.51
0.112 0.040 0.033 826 53.80 51.83
0.112 0.042 0.032 843 53.35 49.93
0.110 0.037 0.036 932 49.74 49.69
0.111 0.039 0.033 891 49.03 49.38
0.110 0.039 0.032 926 49.87 50.08
0.109 0.037 0.035 942 49.16 49.70
0.109 0.039 0.032 901 49.29 49.66
0.109 0.037 0.035 911 49.28 50.17
0.109 0.037 0.035 919 50.15 50.46
0.109 0.039 0.035 925 49.60 50.44
0.109 0.039 0.032 859 50.00 50.06
0.111 0.039 0.032 944 50.25 50.40
0.112 0.040 0.032 850 59.82 44.99
0.112 0.040 0.031 856 58.97 45.98
0.111 0.040 0.032 850 60.32 44.23
0.110 0.040 0.031 872 59.94 44.62
0.112 0.040 0.032 861 60.86 46.95
0.111 0.040 0.033 855 61.47 45.80
0.109 0.040 0.034 831 61.06 45.02
0.111 0.040 0.033 860 58.58 45.47
0.111 0.040 0.034 852 62.73 44.64
0.111 0.040 0.035 921 63.49 44.90
0.117 0.038 0.030 760 57.69 50.39
0.117 0.039 0.030 754 56.15 51.02
0.116 0.040 0.028 761 56.23 49.36
0.117 0.039 0.029 725 57.52 50.54
0.116 0.039 0.029 769 55.45 49.40
0.117 0.038 0.029 765 56.30 49.93
0.117 0.039 0.029 774 55.82 49.82
0.119 0.039 0.029 727 57.46 50.71
0.117 0.040 0.028 732 57.79 50.21
0.119 0.039 0.029 759 56.20 49.52
0.120 0.037 0.026 852 52.91 47.78
0.121 0.038 0.027 836 53.69 48.55
0.120 0.039 0.028 854 54.70 48.16
0.118 0.038 0.028 819 55.79 49.08
0.119 0.038 0.030 845 54.04 48.94
0.118 0.037 0.026 818 52.80 48.72
0.118 0.037 0.025 818 52.83 48.02
0.120 0.037 0.027 829 52.66 48.42
0.116 0.037 0.029 829 52.57 48.17
