0.118 0.054 0.042 1969 45.81 37.63
0.114 0.056 0.043 1838 44.85 38.77
0.113 0.053 0.043 1812 46.13 38.50
0.115 0.056 0.044 1854 46.57 38.43
0.117 0.054 0.045 1881 46.47 40.75
0.114 0.054 0.045 1922 45.12 39.55
0.120 0.053 0.044 1872 46.50 39.39
0.113 0.055 0.043 1834 44.89 38.40
0.114 0.054 0.043 1902 46.00 38.63
0.111 0.053 0.046 2152 53.15 46.45
0.112 0.053 0.048 2095 54.57 46.13
0.111 0.053 0.048 1967 50.98 45.02
0.110 0.052 0.047 2021 50.91 45.23
0.110 0.052 0.050 2093 51.62 45.61
0.113 0.052 0.050 2307 53.15 46.27
0.114 0.051 0.046 1978 52.02 44.67
0.111 0.051 0.046 2067 54.03 45.93
0.110 0.051 0.045 1993 52.63 45.73
0.109 0.051 0.046 1958 53.35 46.18
0.106 0.051 0.051 2174 48.77 43.40
0.107 0.051 0.049 2088 49.35 42.17
0.106 0.053 0.051 2022 49.47 42.54
0.108 0.055 0.050 2071 50.06 44.42
0.106 0.053 0.051 1996 50.06 43.58
0.106 0.054 0.051 1975 50.76 43.46
0.107 0.055 0.052 2017 49.52 43.66
0.107 0.054 0.050 2058 49.59 43.52
0.106 0.052 0.051 1953 48.83 43.54
0.107 0.054 0.052 2049 49.01 43.70
0.106 0.051 0.045 1847 41.63 40.75
0.106 0.051 0.044 1723 42.05 40.53
0.107 0.051 0.043 1735 42.74 41.58
0.106 0.051 0.043 1637 43.28 41.32
0.109 0.051 0.045 1645 43.28 40.63
0.107 0.050 0.044 1801 41.46 41.07
0.108 0.051 0.045 1673 42.17 40.90
0.105 0.051 0.045 1728 41.98 40.28
0.106 0.051 0.044 1625 42.46 41.78
0.106 0.052 0.044 1815 41.87 41.20
